text,label
"Your account has been suspended due to suspicious activity. Click here to verify immediately or lose access.",1
"URGENT: Your payment is overdue. Update your credit card now to avoid account closure.",1
"Congratulations! You won $1000 gift card. Claim your prize here before it expires.",1
"Your package delivery failed. Confirm your address to reschedule delivery immediately.",1
"SECURITY ALERT: Unauthorized login detected. Reset your password now to secure your account.",1
"You have inherited $5 million from a distant relative. Contact us to claim your inheritance.",1
"Your tax refund of $2,847 is ready. Click to download and verify your SSN.",1
"Security breach detected on your account. Verify your identity now or account will be locked.",1
"Free $100 gift card waiting for you. Click to redeem within 24 hours.",1
"Your email will be closed in 48 hours. Reactivate now by confirming your password.",1
"FINAL NOTICE: Your account will be permanently deleted. Click here to prevent closure.",1
"You've been selected for a special reward. Claim now before offer expires.",1
"Suspicious activity on your credit card. Verify transactions immediately.",1
"Your PayPal account has been limited. Restore access by updating payment information.",1
"Act now! Your Amazon account suspended. Verify identity to restore shopping privileges.",1
"IRS Tax Notice: You owe $3,200. Pay immediately to avoid legal action.",1
"Your Netflix subscription failed. Update billing information now to continue service.",1
"Bank Alert: Unusual activity detected. Confirm your account number and PIN.",1
"Microsoft Security: Your computer is infected. Download our tool immediately.",1
"Apple ID locked due to security concerns. Verify now to unlock.",1
"Your social security number has been compromised. Call this number immediately.",1
"Urgent: Package held at customs. Pay fee now to release shipment.",1
"Your cryptocurrency wallet has been accessed. Secure it now by entering recovery phrase.",1
"LinkedIn: Someone viewed your profile. Click here to see who.",1
"Facebook: You have 15 new friend requests. Login to view.",1
"Instagram: Your account will be deleted for violating terms. Appeal now.",1
"Twitter: Verify your account to get blue checkmark. Limited time offer.",1
"Google: Unusual sign-in activity. Confirm your password immediately.",1
"Wells Fargo: Your account is overdrawn. Transfer funds now to avoid fees.",1
"Chase Bank: Fraud alert on your account. Call us immediately at this number.",1
"Meeting scheduled for tomorrow at 3pm. Please confirm your attendance.",0
"Your monthly report is ready for review. Let me know if you have questions.",0
"Thank you for your purchase. Your order #12345 will arrive in 3-5 business days.",0
"Reminder: Team meeting on Friday at 10am in Conference Room B.",0
"Your subscription renewal is coming up next month. No action needed.",0
"Project deadline has been extended to next week. Updated timeline attached.",0
"Invoice #4567 attached for your recent purchase. Payment due in 30 days.",0
"Welcome to our newsletter. You can unsubscribe anytime using the link below.",0
"Your appointment is confirmed for next Tuesday at 2pm with Dr. Smith.",0
"System maintenance scheduled for this weekend from 2am-6am. Services may be briefly unavailable.",0
"Quarterly review meeting scheduled for next month. Calendar invite sent.",0
"Your order has shipped. Track your package using the link in your account.",0
"New features added to your account. Check out what's new in our latest update.",0
"Thank you for attending our webinar. Slides are now available for download.",0
"Your feedback has been received. We appreciate your input.",0
"Password changed successfully. If this wasn't you, contact support.",0
"Your report has been generated and is available in your dashboard.",0
"Reminder: Your dentist appointment is tomorrow at 9am.",0
"Course enrollment confirmed. Classes begin next Monday.",0
"Your reservation at Restaurant ABC is confirmed for Saturday 7pm.",0
"Flight confirmation: Your flight departs at 3:45pm from Gate B12.",0
"Hotel booking confirmed. Check-in is available after 3pm.",0
"Your prescription is ready for pickup at the pharmacy.",0
"Library books are due next week. Renew online to avoid late fees.",0
"Gym membership renewed successfully. Your new card is ready.",0
"Package delivered to your front door at 2:34pm today.",0
